,STATE,Political affiliation 2021
0,Alabama,-29.59438
1,Alaska,-14.62028
2,Arizona,-7.58754
3,Arkansas,-31.83641
4,California,25.45492
5,Colorado,6.367356
6,Connecticut,12.13077
7,Delaware,13.7246
8,District of Columbia,68.15865
9,Florida,-7.603365
10,Georgia,-7.432655
11,Hawaii,31.64859
12,Idaho,-36.9668
13,Illinois,13.44461
14,Indiana,-19.98048
15,Iowa,-9.679443
16,Kansas,-20.68411
17,Kentucky,-27.10645
18,Louisiana,-20.53777
19,Maine,4.045471
20,Maryland,25.89621
21,Massachusetts,32.63558
22,Michigan,-1.645566
23,Minnesota,1.930285
24,Mississippi,-20.30344
25,Missouri,-21.22918
26,Montana,-19.98505
27,Nebraska,-24.83943
28,Nevada,-2.54994
29,New Hampshire,0.3410335
30,New Jersey,11.96593
31,New Mexico,7.024009
32,New York,19.95745
33,North Carolina,-4.803924
34,North Dakota,-37.24163
35,Ohio,-12.35004
36,Oklahoma,-37.20762
37,Oregon,10.5522
38,Pennsylvania,-2.898966
39,Rhode Island,24.01542
40,South Carolina,-18.63975
41,South Dakota,-32.23668
42,Tennessee,-29.41324
43,Texas,-11.98431
44,Utah,-26.3219
45,Vermont,27.54904
46,Virginia,4.63189
47,Washington,12.43642
48,West Virginia,-35.53008
49,Wisconsin,-4.120129
50,Wyoming,-49.73126
